"","comicName","comicSummary","comicGrade"
"418","사랑하는계절","자유연재","9.78"
"419","틈","틈을파고드는 이야기","9.85"
"420","검은유성우","동양풍 이능력물","9.83"
"421","웰시네부부에세이","삶 그림에세이","9.59"
"422","천상대전","천상대전","9.87"
"423","별의아씨","-","9.59"
"424","검은늑대","검은 늑대","9.87"
"425","현의파편","소녀와 환상","9.76"
"426","무대에서지않지만배우입니다","배우 지망생 이야기","9.85"
"427","성장통소나타","예체능 로맨스","9.89"
"428","엘카림이들어줄게!","SF+판타지 액션.","9.78"
"429","팔재叭災","도사와 겨울아들","9.72"
"430","도담도담","두더지 모험 힐링","9.38"
"431","불편해요,선배님!","캠퍼스 로맨스","9.90"
"432","데뷔하고싶어요","아이돌연습생성장물","9.23"
"433","주말엔보랏빛향기","성장 로맨스","9.74"
"434","도와줘요사신님!","인간 되기 싫어요","9.55"
"435","포-갓","열심히 일하는 신","9.89"
"436","바람따라물따라","역사인물만화","9.74"
"437","안녕톡톡","안녕하세요","8.94"
"438","너의뒤에서","사랑따위...","9.53"
"439","남주만9명?!","로맨스 판타지","9.67"
"440","무인도Vlog","무인도 생존Vlog","8.83"
"441","양치기소년","당신의 거짓말","9.79"
"442","가면","욕망 판타지","9.53"
"443","솔직히말해서","로맨스판타지개그만화","9.69"
"444","옆집에그녀가산다","옆집의 특별한그녀!","9.62"
"445","중등생활보고서","현실 중딩 보고서","8.98"
"446","테이커","17살의 킬러","9.85"
"447","악마법소녀","마법과 내뱉은 말","9.89"
"448","그날,우리들의여름.","여고 육상 성장기","9.80"
"449","바람과소원","꿈을 위해서라면","9.80"
"450","마법약사","포션장사하는 이야기","9.90"
"451","저는용사님이아닌데요!","마녀라고요!","9.69"
"452","내매력에퐁당","내 매력에 퐁당!","9.57"
"453","아파트용사","아싸인생 이세계로!","9.43"
"454","쏘판타지","So fantasy","9.87"
"455","컷","NG없인 성장도없다","9.65"
"456","어느남고생의하루","말하는강아지가사실은","9.88"
"457","은해갑을깝치","은해갑/깝치을","9.24"
"458","악마의육아일기","따뜻한 이야기","9.83"
"459","맛있는남자","핥지마","9.88"
"460","목소리의그늘","성우, 성장 로맨스","9.89"
"461","유진의환상특급열차","유진의 여행기","9.89"
"462","킬러5","다섯 명의 킬러들","9.82"
"463","이몸은신이니라!","카이즈","9.61"
"464","룩앤미","아름다움의 가치","9.49"
"465","헬로사이공","따뜻한 이야기들","9.88"
"466","모야툰","모야의 일상","9.69"
"467","살문(殺門)","살인과 관상","9.68"
"468","잠자던숲속의공주","잠자던 공주 귀환기","9.68"
"469","포도나무소녀","포도나무","9.77"
"470","바람과소원(구:바람을실은메아리)","꿈을 위한 거짓말을","9.49"
